situacao_na_venda,val_avaliacao,segmento,UF,Tipo_de_imovel,dias_ate_ser_vendido
1,76000.0,1,13,1,1821
1,76000.0,1,19,1,1411
1,76000.0,1,13,1,1526
1,76000.0,1,19,1,228
1,76000.0,1,10,1,1675
1,76000.0,1,5,1,1556
1,76006.35,1,19,1,259
1,76200.0,1,18,0,113
0,60000.0,0,17,11,1523
1,76325.77,1,15,1,64
1,75000.0,2,15,1,1191
1,75000.0,2,13,1,291
1,76500.0,1,19,1,1814
1,76574.25,1,13,1,249
1,76600.0,1,5,1,1737
1,76600.0,1,19,1,99
1,67500.49,0,13,1,1296
1,77000.0,1,13,1,1628
1,77000.0,1,19,1,457
1,77000.0,1,8,1,1521
1,77000.0,1,16,1,1682
1,77000.0,1,19,1,1555
1,77000.0,1,19,1,457
1,77000.0,1,19,1,457
1,77000.0,1,16,1,1297
1,77000.0,1,13,1,1683
1,77000.0,1,19,1,1387
1,77000.0,1,19,1,477
1,77000.0,1,19,1,1674
1,77000.0,1,13,1,212
1,77000.0,1,4,1,1817
1,77000.0,1,13,1,1677
1,77000.0,1,19,1,352
1,77000.0,1,4,1,1184
1,77000.0,1,19,1,463
1,77182.06,1,19,1,1558
1,77197.3,1,19,1,155
1,77222.01,1,19,1,1736
1,77286.9,1,16,1,655
1,77300.0,1,13,1,1555
1,77350.63,1,19,1,261
1,76000.0,2,19,1,1780
1,76000.0,2,8,1,1554
1,76000.0,2,1,1,232
1,76000.0,2,22,0,143
1,76000.0,2,13,1,1568
1,76000.0,2,13,1,1268
1,76000.0,2,22,0,464
1,76000.0,2,8,1,1554
1,76000.0,2,8,1,1528
1,76000.0,2,5,1,1708
1,76000.0,2,5,1,1674
1,76000.0,2,19,1,1670
1,77500.0,1,19,1,1813
1,77523.97,1,13,1,1554
1,77728.0,1,10,1,1351
1,76354.38,2,18,1,78
1,77900.0,1,19,1,1813
1,77938.2,1,16,1,66
1,78000.0,1,16,1,1556
1,78000.0,1,10,1,1803
1,78000.0,1,19,1,1813
1,78000.0,1,16,1,1648
1,78000.0,1,13,1,122
1,78000.0,1,19,1,1558
1,78000.0,1,13,1,99
1,78000.0,1,15,1,1171
1,78000.0,1,13,1,1737
1,78000.0,1,5,1,464
1,78000.0,1,10,1,1393
1,78000.0,1,17,1,184
1,78000.0,1,16,1,1520
1,78000.0,1,19,1,1612
1,78000.0,1,19,1,1814
0,66000.0,2,19,11,1736
1,78143.0,1,13,1,112
1,77000.0,2,19,1,1799
1,77000.0,2,13,1,1583
1,77000.0,2,19,1,1767
1,78593.99,1,1,1,1648
1,78751.46,1,5,1,1613
0,62000.0,0,10,11,611
1,78931.4,1,13,1,1674
1,77500.0,2,18,0,127
1,79000.0,1,10,1,1296
1,79000.0,1,5,1,1586
1,79000.0,1,17,1,277
1,79000.0,1,18,1,129
1,79000.0,1,5,1,1794
1,79000.0,1,12,1,1554
1,79000.0,1,19,1,1803
1,79000.0,1,13,1,1625
1,79000.0,1,16,1,1736
1,79000.0,1,13,1,1724
1,79000.0,1,5,1,182
1,79000.0,1,13,1,1673
1,79000.0,1,8,1,660
1,79000.0,1,19,1,70
1,79126.22,1,19,1,1561
1,79237.71,1,19,1,1739
1,77798.44,2,13,1,1549
1,78000.0,2,8,1,386
1,78000.0,2,16,1,1639
1,78000.0,2,19,1,287
1,78000.0,2,24,1,1612
1,78000.0,2,11,1,274
1,78000.0,2,5,1,176
1,79673.02,1,5,1,269
1,78200.0,2,19,1,1586
1,79800.0,1,13,1,156
1,80000.0,1,19,1,1814
1,80000.0,1,24,1,1673
1,80000.0,1,8,1,1521
1,80000.0,1,15,1,1296
1,80000.0,1,19,1,457
1,80000.0,1,19,1,444
1,80000.0,1,9,1,1782
1,80000.0,1,19,1,1654
1,80000.0,1,19,1,1794
1,80000.0,1,19,1,458
1,80000.0,1,8,1,1372
0,63000.0,0,9,11,1750
1,78851.0,2,13,1,1676
1,80500.0,1,24,1,904
1,80500.0,1,19,1,435
1,78995.05,2,15,1,256
1,79000.0,2,19,1,1687
1,79000.0,2,22,0,60
1,79000.0,2,5,1,1554
0,63300.0,0,18,11,1543
1,80674.53,1,13,1,869
1,79185.66,2,13,1,1809
1,80837.0,1,10,1,116
1,71000.0,0,4,1,1296
1,71000.0,0,18,0,206
1,71000.0,0,19,1,1767
1,81000.0,1,19,1,73
1,81000.0,1,13,1,1555
1,81000.0,1,19,1,1801
1,81000.0,1,16,1,1689
1,81000.0,1,19,1,256
1,81000.0,1,13,1,323
1,81000.0,1,24,1,1303
1,81000.0,1,10,1,1780
1,81000.0,1,16,1,1556
1,81000.0,1,19,1,217
1,81000.0,1,19,1,1303
1,81000.0,1,5,1,1457
1,81000.0,1,19,1,1803
1,81000.0,1,19,1,457
1,81000.0,1,10,1,1582
1,81000.0,1,5,1,1673
1,81000.0,1,5,0,95
1,81000.0,1,16,1,1696
1,81000.0,1,14,1,1705
1,81000.0,1,5,1,1411
1,81000.0,1,19,1,200
1,81000.0,1,19,1,459
1,81000.0,1,13,1,1625
1,81000.0,1,10,1,1708
1,81000.0,1,15,1,1614
1,81000.0,1,19,1,121
1,81000.0,1,10,1,1296
1,81000.0,1,1,1,1213
1,81000.0,1,10,1,1723
1,81000.0,1,19,1,393
1,81000.0,1,19,1,410
1,81000.0,1,1,1,1561
1,81000.0,1,5,1,1674
1,81000.0,1,19,1,452
1,81000.0,1,13,1,280
1,81000.0,1,10,1,1711
1,81000.0,1,19,1,1681
1,81000.0,1,15,1,1136
1,81000.0,1,19,1,291
1,81000.0,1,19,1,343
1,81000.0,1,19,1,459
1,81000.0,1,16,1,1673
1,81000.0,1,19,1,1582
1,81000.0,1,5,1,1655
1,81000.0,1,19,1,1554
1,81000.0,1,5,1,1712
1,81000.0,1,16,1,72
1,81000.0,1,15,1,634
1,81000.0,1,16,1,1365
1,81073.43,1,18,1,177
1,81139.3,1,8,1,640
1,79600.0,2,13,1,1554
1,79772.22,2,15,1,1773
1,79863.8,2,13,1,1788
1,81500.0,1,4,1,1250
1,80000.0,2,22,0,337
1,80000.0,2,19,1,842
1,80000.0,2,22,0,1626
1,80000.0,2,18,0,1374
1,81600.0,1,19,1,469
1,81701.53,1,16,1,1645
1,80199.96,2,16,1,1605
0,69059.82,2,5,1,312
1,81781.29,1,16,1,1617
1,80300.0,2,19,1,1346
1,81977.69,1,1,1,281
1,82000.0,1,4,1,1360
1,82000.0,1,4,1,1618
1,82000.0,1,19,1,497
1,82000.0,1,8,1,1431
1,82000.0,1,9,1,1624
1,82000.0,1,17,1,472
1,82000.0,1,19,1,464
1,82000.0,1,19,1,1584
1,82000.0,1,19,1,1628
1,82000.0,1,13,1,1704
1,80479.44,2,19,1,1226
1,82097.67,1,19,1,197
1,80791.87,2,5,1,1655
1,82400.0,1,24,1,1520
1,82457.12,1,13,1,1697
1,81000.0,2,5,1,1586
1,81000.0,2,8,1,1638
1,81000.0,2,5,1,1673
1,81000.0,2,24,1,1303
1,81000.0,2,8,1,1638
1,81000.0,2,13,1,1554
1,82759.44,1,4,1,1619
1,82806.21,1,13,1,1738
1,82944.33,1,16,1,1705
1,83000.0,1,7,1,1688
1,83000.0,1,5,1,1661
1,83000.0,1,13,1,112
1,83000.0,1,19,1,1813
1,83000.0,1,13,1,1737
1,83000.0,1,10,1,1794
1,83000.0,1,10,1,179
1,83000.0,1,19,1,497
1,83000.0,1,17,1,297
1,83000.0,1,5,1,462
1,83000.0,1,13,1,95
1,83000.0,1,19,1,351
1,83000.0,1,19,1,325
1,83000.0,1,10,1,1794
1,83000.0,1,19,1,410
1,83000.0,1,19,1,436
1,83000.0,1,10,1,1634
1,83000.0,1,10,1,1737
1,83000.0,1,19,1,1561
1,83000.0,1,19,1,1318
1,83000.0,1,8,1,1558
1,83000.0,1,19,1,1523
1,81500.0,2,18,0,119
1,73050.0,0,10,11,1674
1,83346.5,1,5,1,1586
1,83500.0,1,13,1,1527
1,83500.0,1,19,1,1799
1,81996.37,2,19,1,1599
1,82000.0,2,18,0,168
1,82000.0,2,4,1,141
1,82000.0,2,5,1,1523
1,82000.0,2,17,11,114
1,83607.72,1,15,0,121
1,83700.0,1,17,1,305
1,83700.0,1,4,1,1585
0,75000.0,1,19,1,457
0,75000.0,1,19,1,248
0,75000.0,1,19,1,64
1,83800.0,1,19,1,155
1,82212.01,2,16,0,122
1,84000.0,1,19,1,527
1,84000.0,1,19,1,1722
1,84000.0,1,16,1,1619
1,84000.0,1,13,1,1696
1,84000.0,1,19,1,1675
1,84000.0,1,19,1,1737
1,84000.0,1,13,1,1746
1,84000.0,1,5,1,189
1,84000.0,1,16,1,655
1,84000.0,1,5,1,1586
1,84000.0,1,19,0,1528
1,84000.0,1,19,1,462
1,84000.0,1,19,1,1309
1,84000.0,1,13,1,1554
1,84000.0,1,19,1,1589
1,84000.0,1,13,1,1565
1,84000.0,1,16,1,1737
1,82500.0,2,8,1,1533
0,71000.0,2,19,1,1751
1,84206.51,1,8,1,1673
1,82625.75,2,15,1,1556
1,84380.0,1,5,1,1704
1,84500.0,1,16,1,655
1,84587.07,1,13,1,1634
1,83000.0,2,18,1,135
1,83000.0,2,18,1,1467
1,84628.0,1,24,1,1555
1,84650.0,1,19,1,1796
1,84800.0,1,19,1,256
1,83200.0,2,22,0,63
1,84836.21,1,19,1,245
0,76000.0,1,19,1,347
0,76000.0,1,19,1,1612
0,76000.0,1,19,1,121
0,76000.0,1,8,1,1569
0,76072.58,1,16,1,1647
1,83300.0,2,8,1,1708
1,85000.0,1,5,1,1589
1,85000.0,1,19,1,456
1,85000.0,1,8,1,1661
1,85000.0,1,19,1,1743
1,85000.0,1,8,1,1676
1,85000.0,1,4,1,1815
1,85000.0,1,19,1,1390
1,85000.0,1,14,1,1345
1,85000.0,1,8,1,1554
1,85128.7,1,10,1,1432
1,83500.0,2,22,1,100
1,85180.36,1,5,1,317
1,74701.49,0,17,7,1618
1,85300.0,1,13,1,1554
0,72000.0,2,9,1,905
1,85500.0,1,13,1,1555
1,85500.0,1,19,1,228
1,83900.0,2,22,0,589
0,67000.0,0,25,1,1627
1,75000.0,0,19,1,1554
1,83989.65,2,8,1,1554
1,84000.0,2,13,1,1554
1,84000.0,2,10,0,560
1,84000.0,2,17,1,141
1,84000.0,2,5,1,1717
1,84000.0,2,5,1,1717
1,85800.0,1,1,1,178
0,77000.0,1,19,1,1563
0,77000.0,1,19,1,1331
1,86000.0,1,16,1,1648
1,86000.0,1,5,1,1570
1,86000.0,1,19,1,1404
1,86000.0,1,19,1,407
1,86000.0,1,19,1,106
1,86000.0,1,19,1,1695
1,86000.0,1,8,1,1660
1,86000.0,1,13,1,1561
1,86000.0,1,19,1,1736
1,86000.0,1,18,0,436
1,86000.0,1,4,1,1530
1,86000.0,1,19,1,1704
1,86000.0,1,13,1,1800
1,86000.0,1,22,11,105
1,86000.0,1,5,1,284
1,86000.0,1,10,0,1766
1,86000.0,1,19,1,1225
1,86000.0,1,19,1,224
1,86000.0,1,5,1,1773
1,86000.0,1,19,1,504
1,86000.0,1,10,1,1634
1,86000.0,1,5,1,1715
1,86000.0,1,8,1,625
1,86000.0,1,24,1,1303
1,86000.0,1,5,1,95
1,86000.0,1,1,1,1568
1,86000.0,1,10,1,1563
1,86000.0,1,15,1,94
1,86000.0,1,5,1,1296
1,86000.0,1,5,1,182
1,86000.0,1,13,1,883
1,86000.0,1,19,1,543
1,86000.0,1,19,1,435
1,86006.45,1,24,1,1520
1,86050.0,1,10,1,1654
1,86064.44,1,13,1,212
1,84517.1,2,2,1,1495
1,84517.1,2,2,1,1495
1,86235.56,1,16,1,134
1,86300.0,1,19,1,74
1,86300.0,1,19,1,1796
1,86435.12,1,16,1,1736
1,86500.0,1,10,1,1582
1,86500.0,1,17,1,121
